lr-Adam/geometry,lr-Adam/variance,lr-Adam/albedo,lr-Adam/ambient,lr-Adam/blur,step,train/loss_rgb_mse_cam,train/loss_rgb_mse_proj,train/loss_rgb_l1_cam,train/loss_rgb_l1_proj,train/loss_eikonal,train/loss_mask,train/loss_sparsity,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_sparsity,train/num_rays,epoch,val/psnr,test/psnr
,,,,,699,0.00017603136075194925,0.0,0.00429789861664176,0.0,0.18409913778305054,0.04644269496202469,0.7657601237297058,26.271686553955078,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,904.0,0,,
0.0007531464973672152,0.0007531464973672152,0.0075314649736721515,0.0075314649736721515,0.0075314649736721515,749,,,,,,,,,,,,,,,,,
,,,,,749,0.00018847043975256383,0.0,0.005084701348096132,0.0,0.18306471407413483,0.030886640772223473,0.7874306440353394,27.616588592529297,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,920.0,0,,
0.0007440742971315358,0.0007440742971315358,0.007440742971315361,0.007440742971315361,0.007440742971315361,799,,,,,,,,,,,,,,,,,
,,,,,799,0.000176635745447129,0.0,0.004705999046564102,0.0,0.1733715981245041,0.030980199575424194,0.7832664251327515,29.1599063873291,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,935.0,0,,
0.0007351113781809771,0.0007351113781809771,0.007351113781809777,0.007351113781809777,0.007351113781809777,849,,,,,,,,,,,,,,,,,
,,,,,849,0.00016286299796774983,0.0,0.004679895006120205,0.0,0.16775871813297272,0.03048848919570446,0.7932190895080566,30.933788299560547,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,959.0,0,,
0.0007262564241425565,0.0007262564241425565,0.007262564241425571,0.007262564241425571,0.007262564241425571,899,,,,,,,,,,,,,,,,,
,,,,,899,0.00016207552107516676,0.0,0.004156612791121006,0.0,0.16202980279922485,0.023568706586956978,0.7900509238243103,32.764495849609375,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,984.0,0,,
0.0007175081344999676,0.0007175081344999676,0.0071750813449996806,0.0071750813449996806,0.0071750813449996806,949,,,,,,,,,,,,,,,,,
,,,,,949,0.0001303931639995426,0.0,0.0036585035268217325,0.0,0.1554252654314041,0.024412667378783226,0.7929528951644897,34.89018249511719,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1023.0,0,,
0.0007088652244025732,0.0007088652244025732,0.007088652244025737,0.007088652244025737,0.007088652244025737,999,,,,,,,,,,,,,,,,,
,,,,,999,0.00014895870117470622,0.0,0.004087943118065596,0.0,0.1503116339445114,0.026365425437688828,0.8036501407623291,37.269474029541016,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1055.0,0,,
0.000700326424476701,0.000700326424476701,0.0070032642447670195,0.0070032642447670195,0.0070032642447670195,1049,,,,,,,,,,,,,,,,,
,,,,,1049,0.00038650381611660123,9.571039117872715e-05,0.007154177874326706,0.003987628500908613,0.14558278024196625,0.02479378879070282,0.8017767071723938,42.71158218383789,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,1081.0,0,,
0.0006918904806392137,0.0006918904806392137,0.006918904806392148,0.006918904806392148,0.006918904806392148,1099,,,,,,,,,,,,,,,,,
